event_id,query,doc_id,dwell_time
0,protests in india 2020,doc_5490,2
1,protests in india 2020,doc_5490,2
2,protests in india 2020,doc_5485,2
3,protests in india 2020,doc_5485,3
4,protests in india 2020,doc_5485,3
5,protests in india 2020,doc_16501,5
6,support farmers please,doc_838,10
7,support farmers please,doc_11176,23
8,support farmers please,doc_4674,1
9,protests,doc_23286,4
10,protests,doc_23286,3
11,protests,doc_41653,27
12,problem in india 2020,doc_15731,2
13,protests in india 2020,doc_5490,12
14,protests in india 2021,doc_7815,24
15,protests in india 2021,doc_7815,4
